,Bandwidth_GB_Year,Tenure,MonthlyCharge,Churn,OnlineSecurity,OnlineBackup,StreamingTV,StreamingMovies,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None
0,904.5361102,6.795512947,172.455519,False,True,True,False,True,False,False,True,False
1,800.9827661,1.156680997,242.632554,True,True,False,True,True,False,False,True,False
2,2054.706961,15.75414408,159.947583,False,False,False,False,True,True,True,False,False
3,2164.579412,17.08722662,119.95684,False,True,False,True,False,True,True,False,False
4,271.4934362,1.670971726,149.948316,True,False,False,True,False,False,False,True,False
5,1039.357983,7.000993555,185.007692,False,True,True,False,True,False,False,False,True
6,1907.242972,13.23677381,200.118516,True,False,False,True,True,False,True,False,False
7,979.6127078,4.26425515,114.950905,True,False,True,False,False,False,True,False,False
8,1312.874964,8.220686373,117.468591,False,True,True,False,False,False,True,False,False
9,508.7637913,3.422086139,162.482694,False,True,False,False,True,True,False,True,False
10,2728.767869,19.26726194,174.958118,False,True,True,True,False,False,True,False,False
11,1180.588788,10.52199781,149.962093,False,False,False,True,False,False,False,True,False
12,1196.388018,13.01149229,137.439154,False,False,False,True,False,False,False,True,False
13,1948.694497,16.87922024,184.971516,False,True,False,True,False,True,False,True,False
14,1582.295235,10.06019902,159.965581,True,False,True,False,False,False,True,False,False
15,1840.014467,13.87001293,177.65076,True,True,False,True,True,False,False,False,True
16,2070.376729,15.78214958,194.966286,True,False,True,False,True,False,True,False,False
17,882.0985933,2.303331273,202.682861,True,True,False,True,True,True,False,False,True
18,1833.0967,17.10995632,152.490739,False,False,True,True,False,True,False,False,True
19,1954.080809,12.80615845,149.944668,True,False,False,True,False,False,True,False,False
20,2330.319383,20.45390977,184.978458,False,True,True,False,True,False,False,True,False
21,594.1054279,2.415991977,127.495766,False,True,False,False,False,True,False,True,False
22,713.0633088,6.652298992,124.964303,False,False,False,False,False,False,False,True,False
23,945.3802928,8.543717478,149.948316,False,False,False,True,False,False,False,True,False
24,870.76398,5.770390256,162.511928,True,True,False,False,True,False,False,False,True
25,774.2937069,4.157658837,92.455141,True,False,False,False,False,False,True,False,False
26,1506.446527,10.40566091,222.649979,True,True,False,True,True,False,False,True,False
27,419.0508708,1.392421597,139.981577,True,False,True,True,False,False,False,False,True
28,1259.415493,1.430386349,200.132293,True,False,False,True,True,False,True,False,False
29,1745.125956,5.425864884,257.651257,True,True,True,True,True,True,True,False,False
30,1795.465729,11.08287797,230.105118,False,False,True,True,True,True,False,True,False
31,492.4771472,3.586184954,147.489301,False,False,True,False,False,True,False,False,True
32,1013.993166,4.727388465,230.105118,True,False,True,True,True,False,False,True,False
33,2680.762173,20.89923386,174.958118,True,True,True,True,False,False,True,False,False
34,1081.814362,3.471329958,267.664655,True,True,False,True,True,False,False,True,False
35,1209.961168,5.478588204,162.483267,True,True,True,False,False,False,True,False,False
36,897.5919144,3.312991809,229.993134,True,True,True,False,True,False,False,True,False
37,1340.930156,7.161561527,140.00128,False,True,False,False,False,False,True,False,False
38,1113.993679,9.847563364,184.964681,False,True,True,False,True,True,False,True,False
39,1530.10769,16.04202196,147.473844,False,False,True,False,False,True,False,True,False
40,1310.137419,9.179779682,172.457857,False,False,True,True,False,False,False,True,False
41,892.8964931,3.002844144,107.481989,False,True,False,False,False,False,True,False,False
42,1125.581944,3.924254455,255.141716,True,True,False,True,True,True,False,True,False
43,2016.710031,18.55959629,192.456745,False,False,False,False,True,True,False,True,False
44,1412.736809,8.798394712,242.632554,True,True,False,True,True,True,False,True,False
45,1710.689671,10.377366,245.174977,True,True,True,True,True,False,False,False,True
46,2384.885909,22.25746016,184.964681,True,True,True,False,True,False,False,True,False
47,1213.940165,9.427146079,195.006206,True,True,True,False,False,False,False,True,False
48,740.010722,7.760290062,104.962874,False,False,False,True,False,True,False,False,True
49,897.9716153,11.56938439,92.488023,False,False,False,False,False,False,False,False,True
50,1026.387172,3.343811019,184.979684,True,False,False,False,True,False,True,False,False
51,1234.244324,7.338869531,187.656013,True,False,False,True,True,False,False,False,True
52,727.3731845,5.486534225,149.962093,False,False,False,True,False,False,False,True,False
53,452.8721504,1.55278221,169.944668,True,False,False,True,False,False,False,True,False
54,1296.674543,12.07970325,160.00128,True,True,False,False,False,False,False,True,False
55,1840.628269,13.98666226,129.962093,False,False,False,True,False,False,True,False,False
56,1324.330108,9.563362997,114.950905,True,False,True,False,False,False,True,False,False
57,958.1397059,6.732948946,142.515576,False,True,False,False,True,True,False,False,True
58,1868.864027,15.72071086,220.14775,True,False,False,True,True,True,False,False,True
59,676.712908,7.233605493,124.97808,False,False,False,False,False,True,False,True,False
60,1086.990308,2.871017037,164.964681,False,True,True,False,True,False,True,False,False
61,704.7540406,2.344875382,194.976769,False,False,False,True,False,False,False,True,False
62,1416.444695,7.960490246,152.455519,True,True,True,False,True,False,True,False,False
63,1095.950634,12.25062113,92.5018,False,False,False,False,False,False,False,False,True
64,1083.610268,9.634946079,127.488728,False,False,False,False,True,False,False,False,True
